model,fold_1,fold_2,fold_3,fold_4,fold_5,mean_auc,std_auc,oof_auc
lgb_def,0.858599,0.843384,0.834278,0.806562,0.83057,0.834678,0.017062,0.821803
xgb_def,0.862513,0.838653,0.846893,0.810558,0.828231,0.83737,0.017475,0.833327
cb_def,0.861369,0.832673,0.842219,0.820068,0.830882,0.837442,0.013878,0.808252
et_def,0.860563,0.834108,0.833071,0.816567,0.833277,0.835517,0.014138,0.835055
ridge,0.844494,0.824093,0.828724,0.820904,0.832979,0.830239,0.008221,0.829877
lgb_opt,0.85727,0.836039,0.835812,0.814498,0.833787,0.835481,0.013552,0.832559
xgb_opt,0.862895,0.830656,0.842645,0.821358,0.83655,0.838821,0.013935,0.837812
cb_opt,0.867191,0.840884,0.843256,0.824348,0.827296,0.840595,0.015201,0.83901
et_opt,0.862782,0.838966,0.837631,0.818027,0.833206,0.838122,0.014402,0.837713
