feature,lgb_importance,xgb_importance,avg_importance
Player_Type_encoded,1.0,0.010055699618533254,0.5050278498092666
Height_Player_Type_mean,1.0,0.009587067761458457,0.5047935338807292
Height_Position_Type_std,0.8,0.012180879712104797,0.4060904398560524
BMI_Position_Type_std,0.8,0.004440045915544033,0.40222002295777204
Height_Player_Type_std,0.8,0.0021604152861982584,0.40108020764309915
n_missing_combine,0.8,0.002023597713559866,0.40101179885677996
Position_Type_encoded,0.8,0.0015335376374423504,0.4007667688187212
n_available_combine,0.6000000000000001,0.00412869465071708,0.3020643473253586
Weight_Player_Type_mean,0.6000000000000001,0.0009160126792266965,0.3004580063396134
BMI_Player_Type_std,0.4,0.0,0.2
Sprint_40yd_Position_Type_std,0.2,0.0040518743917346,0.1020259371958673
Vertical_Jump_Position_Type_std,0.2,0.004006032599136233,0.10200301629956812
Height_Position_Type_mean,0.2,0.0016707500908523798,0.1008353750454262
Bench_Press_Reps_missing,0.2,0.0,0.1
Shuttle_missing,0.2,0.0,0.1
BMI_Position_Type_mean,0.0,0.0023316657170653343,0.0011658328585326672
Vertical_Jump_Position_Type_mean,0.0,0.0019978745840489864,0.0009989372920244932
Sprint_40yd_Position_Type_mean,0.0,0.0017148625338450074,0.0008574312669225037
Vertical_Jump_missing,0.0,0.0,0.0
Sprint_40yd_missing,0.0,0.0,0.0
Agility_3cone_missing,0.0,0.0,0.0
Broad_Jump_missing,0.0,0.0,0.0
Weight_Position_Type_mean,0.0,0.0,0.0
BMI_Player_Type_mean,0.0,0.0,0.0
Sprint_40yd_Player_Type_mean,0.0,0.0,0.0
Vertical_Jump_Player_Type_std,0.0,0.0,0.0
Vertical_Jump_Player_Type_mean,0.0,0.0,0.0
Sprint_40yd_Player_Type_std,0.0,0.0,0.0
